,level_0,index,Date,Close,Open,High,Low,Vol,Fluctuations,RSI,SMA_5,SMA_20,EMA,MACD,signal,Stochastic RSI_fastk,Stochastic RSI_fastd,Stochastic Oscillator Index_slowk,Stochastic Oscillator Index_slowd,WilliamR,Momentum,ROC,sent_index
0,69,1936,2016-04-13,2076.0,2055.25,2077.0,2054.0,1640000,0.99%,54.003576053567826,2044.6,2041.725,2044.437957167395,17.73698120370159,22.08479627672243,58.40728831037147,25.119089692013862,39.02505446623095,36.6669459806715,-33.59073359073359,127.25,0.3295093971198426,1.0
1,70,1935,2016-04-14,2076.5,2076.25,2081.75,2068.5,1360000,0.02%,56.24159793057265,2047.9,2044.725,2050.2219649551416,19.068594183948562,21.481555858167656,100.0,52.80242943679047,54.97743541861189,40.045667839785516,-8.8,100.0,1.0094867428849463,-0.3333333333333333
2,71,1934,2016-04-15,2075.0,2077.75,2080.0,2069.5,1230000,-0.07%,56.39835903512077,2056.55,2047.275,2055.227062236025,20.014232909966267,21.18809126852738,100.0,86.1357627701238,79.75256769374417,57.91835252619569,-6.4,96.0,1.2178784557301148,-0.37254901960784315
3,72,1933,2016-04-18,2086.75,2064.25,2088.75,2058.5,1400000,0.57%,54.5779870605329,2061.2,2048.4125,2056.8675963749297,19.450112448470463,20.840495504515996,54.780500997840704,84.92683366594689,80.24276377217554,71.65758896151056,-39.04382470119522,73.25,0.01211240310077244,-0.4117647058823529
4,73,1932,2016-04-19,2093.75,2085.25,2098.5,2084.75,1570000,0.34%,56.820721426192776,2071.75,2050.85,2062.02803339767,20.46169770002257,20.76473594361731,93.80269319256323,82.86106473013463,73.80973363128022,77.93502169906667,-18.27586206896552,90.75,1.4473364144976797,-0.45098039215686275
5,74,1931,2016-04-20,2098.0,2094.25,2105.25,2085.75,1460000,0.20%,57.74569410430597,2079.55,2053.4,2067.8865727799116,21.739017225312182,20.959592199956283,99.99999999999999,82.86106473013461,68.50627891606081,74.18625877317221,-13.8801261829653,95.25,2.558765915768846,-0.4901960784313726
6,75,1930,2016-04-21,2082.75,2097.75,2104.0,2078.75,1640000,-0.73%,58.1067268612341,2083.85,2056.1375,2073.316286819928,22.77123033230214,21.321919826425454,99.99999999999999,97.93423106418771,76.88417552925154,73.06672935886421,-9.46372239747634,116.0,1.844884087874732,-0.5294117647058824
7,76,1929,2016-04-22,2086.0,2079.75,2089.0,2075.0,1500000,0.16%,55.58020256733227,2084.25,2058.725,2074.4860528526683,21.884545668749524,21.434444994890267,5.351402045247066,68.45046734841566,68.62745098039215,71.33930180856818,-32.17665615141956,89.75,2.2241336937822487,-0.5686274509803921
8,77,1928,2016-04-25,2083.25,2091.5,2091.5,2071.0,1280000,-0.13%,56.847253651915196,2089.7,2061.7875,2077.5794977885466,21.877775112761356,21.523111018464483,39.74219066372691,48.3645309029913,63.08859310147417,69.53340653703931,-17.350157728706623,103.0,2.4742773150416397,-0.607843137254902
9,78,1927,2016-04-26,2088.5,2084.25,2091.25,2079.5,1230000,0.25%,55.83073743320773,2089.5,2064.6125,2078.792316372447,21.0448035932518,21.427449533421946,0.6999353311602631,15.264509346711387,47.998230479982304,59.9047581872829,-26.498422712933756,65.0,2.5461254612546114,-0.6470588235294118
10,79,1926,2016-04-27,2090.75,2082.25,2094.0,2076.25,1420000,0.11%,55.54728323560354,2087.1,2066.3,2079.4209861229115,19.992819598271126,21.140523546391783,0.0,13.480708664962366,44.21035169210351,51.76572509118668,-30.263157894736842,63.25,1.31370879455055,-0.6862745098039216
11,80,1925,2016-04-28,2072.5,2092.5,2094.25,2065.25,1940000,-0.87%,56.71245410983813,2086.05,2068.15,2081.7989886460186,19.758441031283382,20.864107043370105,77.7925190901851,26.16415147378176,55.5808525730499,49.26314491504525,-16.776315789473685,76.25,0.7826610475617057,-0.7254901960784315
12,81,1924,2016-04-29,2059.0,2073.75,2076.0,2045.75,2420000,-0.65%,54.03238429560637,2084.85,2069.2,2080.335536164924,17.853917184996135,20.26206907169531,0.0,25.93083969672834,61.92946169839166,53.906888654515036,-41.44736842105263,47.0,-0.19251594272651218,-0.7647058823529412
13,82,1923,2016-05-02,2074.25,2060.75,2077.5,2055.5,1310000,0.74%,52.261008170168076,2078.7,2069.0375,2076.7745295894833,15.121268391637386,19.233908935683726,0.0,25.93083969672834,60.875103685270766,59.4618059855708,-74.78991596638656,19.25,-0.16955310645513366,-0.803921568627451
14,83,1922,2016-05-03,2057.0,2075.5,2076.25,2048.0,1830000,-0.83%,54.029910794145096,2076.95,2070.0375,2076.54279693685,13.984620267021455,18.18405120195127,38.45446794042911,12.818155980143013,50.0,57.601521794554166,-50.0,39.0,-0.46756983575111377,-0.8431372549019609
15,84,1921,2016-05-04,2047.0,2057.5,2060.25,2039.0,1560000,-0.49%,51.61548194655039,2072.0,2070.8125,2073.0804702210594,11.498817659222368,16.84700449340549,0.0,12.818155980143013,41.917401377680335,50.93083502098372,-72.0754716981132,14.25,-1.754804822728906,-0.8823529411764706
16,85,1920,2016-05-05,2044.0,2046.5,2060.0,2039.5,1430000,-0.15%,50.19738890806445,2062.8,2070.15,2068.247657453594,8.542717978932615,15.186147190510914,0.0,12.818155980143013,38.10162952067136,43.33967696611725,-88.67924528301887,3.5,-2.4430937909665107,-0.9215686274509804
17,86,1919,2016-05-06,2052.75,2043.5,2054.5,2030.5,1810000,0.43%,49.81128490060832,2056.75,2070.6,2063.7480833711224,5.890016315128378,13.326921015434406,0.0,-2.3684757858670007e-14,26.874752281510727,35.63126105995416,-82.6086956521739,15.5,-1.7429979564851594,-0.9607843137254903
18,87,1918,2016-05-09,2054.25,2053.0,2059.75,2048.25,1370000,0.07%,51.04480872295658,2055.2,2071.2,2061.7938863945546,4.502400865536401,11.562016985454806,33.70367381220665,11.234557937402194,32.106807272485675,32.36106302488927,-69.89966555183946,22.75,-1.8407841262251923,-1.0
19,88,1917,2016-05-10,2077.5,2054.0,2079.75,2048.0,1420000,1.13%,51.175479688626034,2050.9,2072.275,2060.3768161409994,3.4437004322035136,9.938353674804548,90.3892640137742,41.36431260866026,41.5185461258489,33.50003522661512,-68.02721088435375,26.25,-1.451361400983564,-1.0
20,89,1916,2016-05-11,2058.0,2077.25,2078.75,2057.5,1470000,-0.94%,54.12086288012454,2054.85,2073.375,2063.4446677517267,4.429690686062713,8.836621077056181,100.0,74.6976459419936,63.9399739258273,45.85510910805397,-26.666666666666668,28.75,-0.24012486492975826,-1.0
21,90,1915,2016-05-12,2058.75,2059.0,2072.75,2048.5,1800000,0.04%,51.59353120433761,2057.35,2072.5125,2062.6365463423217,3.695868911324851,7.808470643909915,44.84578712158991,78.411683711788,66.83587140439933,57.43146381869186,-55.294117647058826,3.5,-1.6009557945041775,-1.0
22,91,1914,2016-05-13,2043.5,2059.25,2063.5,2038.5,1880000,-0.74%,51.62554329406667,2060.5,2071.5875,2062.0208106437176,3.098762177141907,6.866528950556313,22.575364537633938,55.80705055307458,67.6983028252064,66.15804938514435,-54.90196078431373,6.5,-0.6992163954189223,-1.0
23,92,1913,2016-05-16,2062.75,2041.25,2068.5,2035.0,1420000,0.94%,49.20200877189661,2058.15,2070.4375,2058.2442996175873,1.1597325457778425,5.72516966960062,0.0,22.473717219741246,40.71251035150875,58.415561527038165,-83.13725490196079,-22.75,-0.9462574305471261,-1.0
