,CNN,RNN,LSTM,BiLSTM,ATFN
117,32277.781,33023.02,33009.88,32913.85,33024.105
118,32602.523,33106.38,33037.367,33005.895,33125.535
119,32662.008,33030.58,33012.5,32832.816,32969.445
120,32784.152,33159.953,33218.004,33072.82,33250.918
121,33196.03,33024.02,33326.97,33142.383,33055.914
122,33239.35,33237.863,33476.18,33339.793,33490.93
123,33588.81,33403.39,33664.266,33589.113,33690.836
124,33539.902,33428.195,33727.77,33677.336,33844.664
125,33633.285,33646.793,33842.0,33862.062,34029.367
126,33827.62,33738.332,33968.883,34009.78,34299.17
127,34003.47,33997.52,34110.855,34135.25,34303.594
128,34095.37,34134.836,34226.414,34195.867,34267.086
129,34181.15,34230.03,34176.582,34039.117,34150.26
130,33933.734,33939.14,34008.348,33871.234,33806.547
131,33741.574,33371.777,33759.723,33696.875,33468.242
132,33652.477,33179.508,33451.625,33472.47,33210.805
133,33254.62,33157.92,33271.45,33305.77,33230.027
134,32932.41,33421.62,33268.25,33245.09,33212.066
135,32609.414,33038.105,33047.367,32956.953,32626.645
136,32641.521,32758.328,32757.867,32722.11,32313.984
137,32546.04,32491.504,32441.543,32500.23,32248.602
138,32367.943,32442.055,32129.71,32193.506,32061.27
139,32469.492,32465.688,32293.062,32395.86,32336.656
140,32287.215,32489.754,32251.547,32191.918,32120.367
141,31862.754,32556.99,32085.682,31942.371,31991.277
142,32639.94,32175.395,32193.004,32163.719,32183.994
143,32866.992,32487.832,32350.941,32356.512,32550.254
144,32444.121,32816.195,32616.107,32511.691,32675.666
145,32630.92,32905.883,32671.729,32517.04,32132.967
146,32519.354,32668.25,32342.074,32233.902,31802.238
147,32427.434,32526.998,32042.62,32071.234,31716.543
148,31832.148,31931.297,31789.822,31721.45,31129.975
149,31808.41,32011.691,31587.906,31551.518,31100.855
150,31593.523,32022.348,31613.586,31742.203,31126.57
151,31432.656,32264.08,31558.059,31750.31,31344.95
152,31049.297,32290.95,31361.402,31365.906,30820.082
153,30395.365,31808.535,31044.96,30989.293,30275.574
154,30494.625,31338.35,30662.875,30573.959,30045.965
155,30363.908,31333.332,30338.219,30178.078,29768.742
156,29928.227,31255.45,30131.014,29932.375,29822.691
157,30645.686,31144.484,30277.957,30206.996,29847.484
158,30528.518,31019.725,30251.965,30135.895,29752.65
159,30107.219,31067.434,30091.787,29992.752,29872.34
160,30758.97,31406.93,30283.951,30380.172,30334.062
161,30536.555,31406.902,30512.654,30690.174,30511.346
162,30166.941,31624.902,30774.139,30867.566,30458.734
163,30443.01,31325.42,30759.879,30812.719,29882.82
164,30494.799,31227.953,30401.832,30458.65,29746.402
165,30242.78,30930.955,30155.25,30257.629,29745.223
166,30450.781,30811.738,30106.258,30210.014,29636.758
167,30132.926,30330.645,30008.254,29932.219,29522.719
168,29991.855,31455.66,30341.309,30357.785,30310.82
169,29993.578,31153.848,30594.594,30627.734,30636.059
170,29639.777,31424.46,30767.227,30790.75,30959.2
171,29781.352,31268.578,30913.5,30987.953,30691.05
172,29900.582,31340.633,30854.994,30900.816,30797.348
173,30024.273,31561.219,30890.375,30865.95,30865.062
174,30604.918,31836.633,31274.82,31280.314,31529.535
175,30809.305,31938.73,31670.688,31662.945,31710.492
176,30968.438,32050.633,32003.305,31925.727,32004.584
177,31247.895,32277.785,32222.293,32209.45,32377.412
178,31554.777,32338.855,32330.805,32306.3,32637.91
179,31807.12,32580.125,32563.488,32541.695,32930.883
180,31832.615,32381.89,32810.965,32751.693,32944.938
181,32075.3,32774.582,32802.22,32619.594,32864.383
182,32164.043,32619.133,32662.236,32483.28,32488.729
183,32418.86,32419.355,32630.094,32485.107,32673.918
184,32335.162,32527.7,32657.574,32542.652,32866.305
185,32256.523,32534.61,32916.5,32778.566,33186.977
186,32446.125,32428.11,33172.832,32995.043,33117.93
187,32451.39,32601.459,33341.066,33146.77,33689.64
188,32678.945,33371.395,33466.65,33289.492,33906.875
189,32767.268,33545.18,33538.37,33339.402,33949.82
190,33145.316,33716.555,33695.656,33424.457,33880.594
191,33080.01,33589.6,33672.21,33357.914,33869.21
192,33090.406,33243.098,33675.945,33386.168,33827.855
193,33316.727,33313.535,33751.504,33579.74,34041.69
194,33616.844,33461.2,33916.812,33713.562,33993.266
195,33561.062,33346.383,34143.15,33936.93,34203.83
196,33702.15,33751.867,34244.48,34081.17,34414.29
197,33733.26,33876.516,34327.508,34279.04,34647.406
198,33812.79,34059.883,34367.82,34281.93,34379.625
199,33988.27,33952.004,34206.52,34048.344,34259.723
200,34102.152,33583.96,34121.85,33859.9,34345.863
201,34379.42,33769.074,34334.97,34204.43,34645.664
202,34445.938,33892.445,34402.273,34191.625,34524.547
203,34027.934,34192.227,34474.61,34263.53,34461.53
204,34080.63,34075.184,34311.14,34100.54,34108.688
205,33869.156,33614.594,34018.18,33945.94,33988.316
206,33889.188,33633.242,33895.016,33917.688,33926.766
207,33909.17,33624.945,33875.36,33853.906,33815.797
208,34027.695,33633.184,33850.79,33754.44,33889.027
209,34186.21,33752.6,34128.1,34134.07,34494.742
210,34613.727,33662.15,34346.89,34327.086,34556.105
211,34230.04,33923.023,34267.33,34164.58,33907.18
212,33479.805,33290.906,34044.844,33784.098,33372.023
213,34235.645,33106.426,33656.09,33544.977,33558.68
214,33980.984,33073.25,33331.203,33392.906,33216.1
215,33656.402,33313.082,33340.395,33485.133,33425.37
216,33804.8,33445.934,33611.22,33665.137,33596.824
217,33757.71,33832.766,33642.02,33669.895,33538.027
218,33975.043,34020.54,33759.555,33850.656,33503.93
219,34146.35,33829.617,33768.766,33868.234,33421.82
220,34029.15,33940.914,33598.812,33638.69,33282.93
221,33736.734,33736.316,33610.727,33653.414,33254.527
222,33748.074,33626.54,33632.02,33661.86,33385.586
223,33757.17,33681.48,33721.477,33733.977,33507.625
224,33572.1,33830.055,33902.508,33855.47,33484.547
225,33672.36,33949.516,33808.492,33673.875,33564.95
226,33758.633,34019.234,33969.61,33977.273,33958.54
227,33781.094,33756.883,34101.93,34146.062,33914.473
228,34047.633,34026.656,34293.633,34336.32,34176.81
229,33935.9,34311.02,34458.54,34495.62,34347.195
230,34293.58,34746.523,34465.336,34504.234,34508.883
