,CNN,RNN,LSTM,BiLSTM,ATFN
301,4198.1978,4192.501,4199.8394,4198.5225,4199.709
302,4160.3066,4225.6025,4206.914,4203.302,4190.958
303,4195.3174,4266.968,4168.05,4169.339,4164.4414
304,4122.9873,4143.3467,4141.2627,4154.017,4188.216
305,4174.547,4193.6646,4132.99,4148.413,4203.0444
306,4174.3105,4124.324,4127.631,4143.1846,4129.6553
307,4136.1084,4192.377,4111.3613,4117.8667,4094.315
308,4105.658,4254.124,4097.4385,4111.9673,4111.5303
309,4171.3013,4278.909,4117.1074,4131.839,4158.12
310,4135.133,4228.114,4159.4053,4181.645,4168.296
311,4206.24,4216.2134,4175.78,4182.712,4193.645
312,4125.669,4180.5444,4164.4287,4167.751,4141.4014
313,4068.2961,4306.327,4123.2285,4125.4937,4121.708
314,4076.396,4258.634,4105.9277,4103.955,4158.84
315,4183.419,4249.7744,4139.174,4131.575,4177.2773
316,4160.0503,4182.9854,4172.9326,4164.8086,4135.586
317,4159.294,4130.083,4177.166,4178.82,4143.6455
318,4179.6787,4226.624,4175.7993,4180.962,4172.5386
319,4138.3945,4323.162,4156.2705,4164.246,4166.2715
320,4125.627,4199.9375,4140.532,4162.0244,4156.8555
321,4134.2993,4105.288,4162.9883,4189.66,4147.6074
322,4100.885,4161.561,4151.1455,4184.8125,4131.84
323,4176.134,4358.699,4181.733,4209.8516,4186.0938
324,4119.283,4416.4727,4208.127,4228.159,4197.953
325,4195.875,4324.249,4216.1533,4232.9897,4221.4688
326,4167.241,4238.287,4212.788,4233.295,4189.775
327,4117.254,4282.567,4171.6553,4194.0703,4159.68
328,4096.1436,4293.758,4144.0996,4167.247,4175.8203
329,4150.3096,4321.172,4138.8965,4148.7554,4188.741
330,4249.9805,4286.856,4195.0605,4208.3057,4241.3057
331,4236.1045,4259.514,4235.128,4243.4126,4236.386
332,4234.295,4181.794,4249.299,4258.162,4218.799
333,4181.9536,4273.1387,4221.673,4228.3423,4201.576
334,4151.939,4306.707,4181.4707,4188.1836,4227.331
335,4180.8164,4243.837,4201.5195,4206.635,4273.4146
336,4293.7354,4259.509,4253.157,4254.5127,4286.046
337,4261.1094,4266.3467,4286.17,4285.1377,4282.7646
338,4291.6133,4325.3643,4291.7627,4294.1777,4279.8076
339,4277.7607,4348.3525,4304.8657,4321.6475,4320.368
340,4308.576,4308.3486,4314.9233,4328.726,4338.176
341,4321.8203,4359.795,4335.4824,4323.3896,4354.3066
342,4338.6255,4443.773,4360.1387,4345.417,4355.591
343,4365.68,4404.5664,4375.9287,4369.3135,4377.7354
344,4380.421,4370.4736,4398.5166,4395.4053,4399.114
345,4423.29,4479.4106,4424.2793,4416.26,4435.2773
346,4420.2617,4477.88,4452.2974,4440.1074,4445.694
347,4437.672,4491.586,4464.463,4455.334,4432.554
348,4449.1113,4451.3687,4454.538,4448.0996,4416.071
349,4413.983,4434.3936,4406.376,4405.5176,4409.1567
350,4420.5,4411.0947,4376.0747,4375.664,4436.1914
351,4427.412,4365.8555,4367.3525,4371.5107,4422.697
352,4430.4663,4305.502,4364.88,4367.4155,4392.949
353,4435.1597,4384.7295,4364.8247,4349.617,4390.004
354,4412.1084,4514.34,4374.785,4360.99,4403.838
355,4459.5293,4441.7393,4382.744,4374.1777,4412.405
356,4434.977,4335.6377,4409.7163,4395.744,4463.015
357,4470.8906,4401.454,4444.4917,4453.2695,4494.236
358,4521.9277,4362.039,4472.865,4487.4033,4491.8384
359,4486.8955,4360.2295,4475.1377,4486.9033,4467.2256
360,4460.3726,4516.327,4451.7544,4453.971,4446.004
361,4417.751,4470.8867,4417.8037,4429.958,4450.0317
362,4443.144,4493.035,4397.757,4404.01,4461.615
363,4467.3926,4442.0977,4406.3135,4416.4067,4462.218
364,4523.7803,4462.6787,4429.3706,4430.9272,4459.34
365,4523.919,4480.7627,4473.453,4464.159,4515.5117
366,4523.5063,4540.7617,4501.368,4490.843,4543.2188
367,4546.4253,4486.3623,4520.3555,4509.8237,4558.951
